,Trade Date,Trade Type,Trade Zone,Volume,Price
1,6/10/2020,Allocation,7GMW,60.0,$270.00
2,,,7GMW Total,60.0,$270.00
3,,Allocation Total,,60.0,$270.00
4,6/10/2020 Total,,,60.0,$270.00
5,5/10/2020,Allocation,6,50.0,$179.05
6,,,6 Total,50.0,$179.05
7,,Allocation Total,,50.0,$179.05
8,5/10/2020 Total,,,50.0,$179.05
9,1/10/2020,Allocation,6,136.0,$185.00
10,,,6 Total,136.0,$185.00
11,,,7GMW,155.0,$285.00
12,,,7GMW Total,155.0,$285.00
13,,Allocation Total,,291.0,$235.00
14,1/10/2020 Total,,,291.0,$235.00
15,30/9/2020,Forward,7GMW,1000.0,$750.00
16,,,,1000.0,$620.00
17,,,,100.0,$350.00
18,,,7GMW Total,2100.0,$573.33
19,,Forward Total,,2100.0,$573.33
20,30/9/2020 Total,,,2100.0,$573.33
21,Grand Total,,,2501.0,$377.01
