,Volume (ML),Price ($)/ML,State,Zone /Details,Split
0,10.745999999999999,2100,SA,Marne Saunders Underground,no
1,3.735,2500,SA,"Western Mt Lofty Ranges Groundwater , Aldgate Creek MA",no
2,4.9,2500,SA,Western Mt Lofty Watercourse - Torrens River,no
3,80.0,3000,SA,Western Mt Lofty Ranges Groundwater - Charleston Adelaidean MA,yes
4,8.0,3000,SA,Western Mt Lofty Ranges Groundwater - Hahndorf,no
5,103.84,3100,SA,Eastern Mt Lofty Ranges Groundwater - Bremer Adelaidean,yes
6,35.0,3500,SA,Western Mt Lofty Ranges Groundwater - Mitchell Creek,yes
7,50.0,6000,SA,Angas Bremer PWA underground,yes
8,25.0,7000 wet,SA,Class 3 River Murray settle after 1/7/20 wet,no
9,163.0,7500 wet,SA,Class 3 River Murray,yes
10,120.0,7500wet,SA,Class 3 River Murray,yes
11,25.0,8200 Wet,SA,Class 3 River Murray,no
12,240.0,7000 wet,SA,Class 3 River Murray,
13,5.0,2500,SA,Barossa Groundwater,no
14,75.0,10000,SA,Class 3 River Murray,yes
